机房,采集适配器端,,,中转服务器,,,解析服务器（主局）,,
,IP,hostname,侦听数据目录,IP,hostname,FTP数据目录,IP,hostname,FTP数据目录
C1,192.168.94.1,c1pr-dca-s1,"1、PR数据输出目录：/data/zip
2、前置接入侦听目录：/data1/pr-collect/bak",192.168.94.45,c1pr-dtn-s1,/data1/pr-collect/analysis/zip,192.168.13.28,dpa-c1pr-s1,/data1/ftp/pr
C1,192.168.94.2,c1pr-dca-s2,,,,,,,
C1,192.168.94.3,c1pr-dca-s3,,,,,,,
C1,192.168.94.4,c1pr-dca-s4,,,,,,,
C1,192.168.94.5,c1pr-dca-s5,,,,,,,
C1,192.168.94.6,c1pr-dca-s6,,,,,,,
C1,192.168.94.7,c1pr-dca-s7,,192.168.94.46,c1pr-dtn-s2,/data1/pr-collect/analysis/zip,192.168.13.29,dpa-c1pr-s2,/data1/ftp/pr
C1,192.168.94.8,c1pr-dca-s8,,,,,,,
C1,192.168.94.9,c1pr-dca-s9,,,,,,,
C1,192.168.94.10,c1pr-dca-s10,,,,,,,
C1,192.168.94.11,c1pr-dca-s11,,,,,,,
C1,192.168.94.12,c1pr-dca-s12,,,,,,,
B1,192.168.54.1,b1pr-dca-s1,"1、PR数据输出目录：/data/zip
2、前置接入侦听目录：/data1/pr-collect/bak",192.168.54.51,b1pr-dtn-s1,/data1/pr-collect/analysis/zip,192.168.13.26,dpa-b1pr-s1,/data1/ftp/pr
B1,192.168.54.2,b1pr-dca-s2,,,,,,,
B1,192.168.54.3,b1pr-dca-s3,,,,,,,
B1,192.168.54.4,b1pr-dca-s4,,,,,,,
B1,192.168.54.5,b1pr-dca-s5,,,,,,,
B1,192.168.54.6,b1pr-dca-s6,,192.168.54.52,b1pr-dtn-s2,/data1/pr-collect/analysis/zip,,,
B1,192.168.54.7,b1pr-dca-s7,,,,,,,
B1,192.168.54.8,b1pr-dca-s8,,,,,,,
B1,192.168.54.9,b1pr-dca-s9,,,,,,,
B1,192.168.54.10,b1pr-dca-s10,,,,,,,
B1,192.168.54.11,b1pr-dca-s11,,192.168.54.53,b1pr-dtn-s3,/data1/pr-collect/analysis/zip,192.168.13.27,dpa-b1pr-s2,/data1/ftp/pr
B1,192.168.54.13,b1pr-dca-s12,,,,,,,
B1,192.168.54.14,b1pr-dca-s13,,,,,,,
B1,192.168.54.15,b1pr-dca-s14,,,,,,,
B1,192.168.54.16,b1pr-dca-s15,,,,,,,
B1,192.168.54.17,b1pr-dca-s16,,192.168.54.54,b1pr-dtn-s4,/data1/pr-collect/analysis/zip,,,
B1,192.168.54.18,b1pr-dca-s17,,,,,,,
B1,192.168.54.19,b1pr-dca-s18,,,,,,,
B1,192.168.54.20,b1pr-dca-s19,,,,,,,
A1,192.168.13.32,a1pr-dca-s1,"1、PR数据输出目录：/data/zip
2、前置接入侦听目录：/data1/pr-collect/bak",,,,,,
A1,192.168.13.33,a1pr-dca-s2,,,,,,,
A1,192.168.13.34,a1pr-dca-s3,,,,,,,
A1,192.168.13.35,a1pr-dca-s4,,,,,,,
A1,192.168.13.52,a1pr-dca-s5,,,,,,,
A1,192.168.13.53,a1pr-dca-s6,,,,,,,
A1,192.168.13.71,a1pr-dca-s7,,,,,,,
A1,192.168.13.72,a1pr-dca-s8,,,,,,,
A1,192.168.13.73,a1pr-dca-s9,,,,,,,
A1,192.168.13.74,a1pr-dca-s10,,,,,,,
A1,192.168.13.51,a1pr-dca-s11,,,,,,,
