序号,任务名称,相对路径,影响点,是否需要停止,是否需要修改配置
1,dwd_sms,dwd/norm/dwd_sms.sql,AI服务器调用地址,是,是
2,dws_archive_entity_theme_info,dws/theme/dws_archive_entity_theme_info.sql,AI服务器调用地址,是,是
3,dws_archive_sms_theme_info,dws/theme/dws_archive_sms_theme_info.sql,AI服务器调用地址,是,是
4,ads_archive_app_creation,ads/archive/ads_archive_app_creation.sql,Doris读写,是,是
5,ads_archive_app_topn_update,ads/archive/ads_archive_app_topn_update.sql,Doris读写,是,是
6,ads_archive_app_update,ads/archive/ads_archive_app_update.sql,Doris读写,是,是
7,ads_archive_call_creation,ads/archive/ads_archive_call_creation.sql,Doris读写,是,是
8,ads_archive_call_topn_update,ads/archive/ads_archive_call_topn_update.sql,Doris读写,是,是
9,ads_archive_call_update,ads/archive/ads_archive_call_update.sql,Doris读写,是,是
10,ads_archive_email_creation,ads/archive/ads_archive_email_creation.sql,Doris读写,是,是
11,ads_archive_email_topn_update,ads/archive/ads_archive_email_topn_update.sql,Doris读写,是,是
12,ads_archive_email_update,ads/archive/ads_archive_email_update.sql,Doris读写,是,是
13,ads_archive_fix_ip_update,ads/archive/ads_archive_fix_ip_update.sql,Doris读写,是,是
14,ads_archive_fix_ip_update,ads/archive/ads_archive_fix_ip_update.sql,Doris读写,是,是
15,ads_archive_im_creation,ads/archive/ads_archive_im_creation.sql,Doris读写,是,是
16,ads_archive_im_topn_update,ads/archive/ads_archive_im_topn_update.sql,Doris读写,是,是
17,ads_archive_im_update,ads/archive/ads_archive_im_update.sql,Doris读写,是,是
18,ads_archive_radius_creation,ads/archive/ads_archive_radius_creation.sql,Doris读写,是,是
19,ads_archive_radius_topn_update,ads/archive/ads_archive_radius_topn_update.sql,Doris读写,是,是
20,ads_archive_radius_update,ads/archive/ads_archive_radius_update.sql,Doris读写,是,是
21,ads_archive_web_creation,ads/archive/ads_archive_web_creation.sql,Doris读写,是,是
22,ads_archive_web_topn_update,ads/archive/ads_archive_web_topn_update.sql,Doris读写,是,是
23,ads_archive_web_update,ads/archive/ads_archive_web_update.sql,Doris读写,是,是
,,,,,
,,,,,
,,,,,
特别说明：dwd标准化任务，涉及维度补全，读取mysql维度库，需要统一修改mysql连接信息。,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
