批次,执行顺序,搬迁阶段,机房,事项分类,事项,负责人,支撑人员,计划开始时间,计划结束时间,注意事项,备注
,,搬迁前,A1,服务器IP配置,三台服务器，增加172网段地址,,,,,"三台设备IP及172网段的IP关系：
192.168.13.22 -> 172.20.19.22;
192.168.13.23 -> 172.20.19.23;
192.168.13.24 -> 172.20.19.24;","1、参照13.8、13.9的IP配置文件进行配置,/etc/netplan/50-cloud-init.yaml；
2、配置完成后，执行命令netplan apply；
3、验证测试，是否可以正常ping通：ping 192.168.13.6、172.20.31.11、192.168.23.232、192.168.80.1172.20.91.21、172.20.51.21"
,,搬迁前,A1,CBP服务部署,DDoS-Web和规则中心,,,,,"1、部署在192.168.13.22；
2、停止13.8上的相关服务；并启动13.22上服务，确保CBP业务系统可以访问；
3、修改DDoS检测设备和清洗设备配置；
4、修改调度中心中任务的配置；",该服务需要访问全部机房
,,搬迁前,A1,CBP服务部署,NF信息中心中涉及的5台Nginx部署,,,,,"1、设备列表：13.18、13.19、13.22、13.23、13.24
2、调整Nginx中的代理配置；
3、停止原部署nginx；
4、NF设备上的CBP服务白名单IP配置调整",该服务需要访问全部机房
,,搬迁前,A1,CBP服务部署,网管系统,,,,,"1、确认服务列表:deye-nms-web、deye-nms-monitor-load、deye-nms-monitor-remote、deye-nms-alarm；
2、部署在192.168.13.23；
3、调整agent程序配置，指向新部署的服务；
4、Nginx中的配置调整",该服务需要访问全部机房
,,搬迁前,A1,CBP服务部署,案件系统：dataload入库服务、nfsystem-web,,,,,"1、部署在192.168.13.25；
2、停止13.8上入库服务。",该服务需要访问全部机房的OSS、NF设备
,,搬迁前,A1,CBP服务部署,调度中心部署，包含执行器,,,,,"1、部署在19.168.13.17；
2、停止13.6的调度，移植到13.17上。",13.6是全局时钟服务器及文件备份服务器，不搬迁
,,搬迁前,A1,CBP服务部署,公共服务：文件预览服务？、维度服务,,,,,"1、部署在192.168.13.24；
2、调整相关服务访问地址。",该服务需要访问全部机房的OSS
,,搬迁前,A1,Doris改造,Doris集群FQDN方式改造,,,,,"1、采用域名寻址；
2、需要修改/etc/hosts文件，保证hostname不变，调整ip对应关系即可",
,,搬迁前,A1,NFS挂载整理,业务系统中有包含NFS挂载，整理,,,,,"1、13.7至13.17网段，使用df -h命令检查使用有NFS挂载
2、通过history命令查找mount挂载命令记录下来",
,,搬迁前,A1,修改IP确认事项,Mysql、Oracle,,,,,,单机数据库
,,搬迁前,A1,修改IP确认事项,Redis、NebulaGraph,,,,,,集群：节点接入集群时包含IP信息
,,搬迁中,A1,停止服务,CBP业务系统全部停止、检查,,,,,1、规则中心中包含了PG数据库，需要单独停止,包括Nginx，曹洋在现场有批量停止服务脚本
,,搬迁中,A1,停止服务,案件dataload、nf-rules、nfsystem-web停止,,,,,,
,,搬迁中,A1,停止服务,天基读写Doris、调用AI服务任务全部停止,,,,,,
,,搬迁中,A1,停止服务,天算写Doris任务全部停止调度,,,,,,
,,搬迁中,A1,停止服务,调度中心关闭调度、停止服务,,,,,,
,,搬迁中,A1,停止服务,Mysql全备、停止、关闭自启动,,,,,备份的数据，归档到13.6服务器,
,,搬迁中,A1,停止服务,Oracle全备、停止、关闭自启动,,,,,备份的数据，归档到13.6服务器,
,,搬迁中,A1,停止服务,NebulaGraph停止、关闭自启动,,,,,,
,,搬迁中,A1,停止服务,redis停止、关闭自启动,,,,,,
,,搬迁中,A1,停止服务,取消业务系统的NFS挂载,,,,,"1、NFS挂载时，版本选择V4？；
2、注意检查/etc/fstab中是否配置了自动挂载","1、13.7至13.17网段，使用df -h命令检查使用有NFS挂载
2、通过history命令查找mount挂载命令记录下来"
,,搬迁中,A1,停止服务,停止Doris集群、关闭自启动,,,,,,
,,搬迁中,A1,修改IP,20台应用服务器IP修改、关机,,,,,将IP调整为A2机房的IP,仅在配置文件修改IP
,,搬迁中,A1,修改IP,33台Doris集群服务器IP修改、关机,,,,,将IP调整为A2机房的IP,仅在配置文件修改IP
,,搬迁中,A2,服务器检查,网络、时钟同步检查,,,,,,
,,搬迁中,A2,基础容器恢复,Doris集群恢复、检查,,,,,,
,,搬迁中,A2,基础容器恢复,Mysql恢复、检查,,,,,,
,,搬迁中,A2,基础容器恢复,Oracle恢复、检查,,,,,,
,,搬迁中,A2,基础容器恢复,NubelaGraph恢复、检查,,,,,,
,,搬迁中,A2,基础容器恢复,Redis恢复、检查,,,,,,
,,搬迁中,A2,基础容器恢复,Nacos恢复、检查,,,,,注意检查Nacos是否使用了Mysql,
,,搬迁中,A2,配置修改及恢复,AI服务恢复,,,,,包括Nginx，需要修改nginx中的IP配置,
,,搬迁中,A1,配置修改及恢复,天算任务恢复、检查,,,,,重点是Doris配置IP修改,在搬迁过程中，A1机房可以提前修改IP配置
,,搬迁中,A1,配置修改及恢复,天基任务恢复、检查,,,,,重点是Doris、AI服务、Mysql配置IP修改,在搬迁过程中，A1机房可以提前修改IP配置
,,搬迁中,A1,配置修改及恢复,案件dataload、nf-rules、nfsystem-web恢复、检查,,,,,"1、修改doris、Oracle数据库IP地址；
2、NF-rules修改IP信息。",
,,搬迁中,A2,配置修改及恢复,CBP业务系统配置修改,,,,,"1、Nacos中涉及的Mysql、Oracle、NebulaGraph、redis、Doris的IP修改、以及服务间IP调用的配置修改；
2、专题系统：Doris的配置mysql的业务表中也存在",
,,搬迁中,A2,配置修改及恢复,Nginx配置修改,,,,,"1、配置文件包含的IP配置；
2、前端配置文件中IP信息修改",
,,搬迁中,A2,配置修改及恢复,业务系统的NFS挂载恢复、检查,,,,,"1、NFS挂载时，版本选择V4？；
2、注意检查/etc/fstab中是否配置了自动挂载",
,,搬迁中,A2,配置修改及恢复,CBP业务系统恢复、检查,,,,,,
,,搬迁中,A2,配置修改及恢复,调度中心恢复、配置修改,,,,,"1、调度中心的mysql地址修改；
2、执行器IP地址修改；
3、调度任务中IP地址修改",
,,搬迁中,A2,CBP业务系统调测,案件系统,,,,,,
,,搬迁中,A2,CBP业务系统调测,综合搜索,,,,,,
,,搬迁中,A2,CBP业务系统调测,网管系统,,,,,"1、优先保证链路监控没有问题；
2、其次未涉及搬迁设备的设备监控和服务监控没有问题",
,,搬迁中,A2,CBP业务系统调测,全息档案,,,,,,
,,搬迁中,A2,CBP业务系统调测,线索侦查,,,,,,
,,搬迁中,A2,CBP业务系统调测,基础库、群组挖掘,,,,,,
,,搬迁中,A2,CBP业务系统调测,DDoS防护系统、规则中心,,,,,,
,,搬迁中,A2,CBP业务系统调测,安全检测,,,,,,
,,搬迁中,A2,CBP业务系统调测,统计分析、报表中心,,,,,,
,,搬迁中,A2,CBP业务系统调测,NF信息中心,,,,,,
,,搬迁中,A2,CBP业务系统调测,数据恢复应用,,,,,,
,,搬迁后,A1,数据补跑,天算任务关于Doris任务数据补跑,,,,,首先确认范围,
,,搬迁后,A1,网管系统配置,53台设备监控和服务监控调整,,,,,,配置提前整理
